task,pair_id,cond_x,cond_y,dimension,verdict
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,C,test_quality,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,C,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,C,test_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,C,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,C,test_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,C,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,C,test_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,C,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,C,test_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,C,spec_adherence,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,C,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,C,test_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,C,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,C,test_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,B,C,restraint,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,B,C,test_quality,Y
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,B,C,design_quality,X
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,B,C,spec_adherence,tie
rate-limiter,rate-limiter::BvsC::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,B,C,restraint,Y
